"","lon","lat","energy","day","agent_id","distance","delta_energy"
"1",-112.24,52.24,100,1,"Agent_1",NA,NA
"2",-115.225003907641,44.9250011481189,80,2,"Agent_1",843.25831499908,-20
"3",-112.075003800814,43.875001210443,75,3,"Agent_1",276.432911395523,-5
"4",-108.975003695683,43.5750012282498,65,4,"Agent_1",251.595654532613,-10
"5",-110.425003744858,43.4250012371533,45,5,"Agent_1",118.26813873566,-20
"6",-111.325003775379,43.1250012549601,60,6,"Agent_1",80.2245319092873,15
"7",-112.525003816075,41.9250013261876,45,7,"Agent_1",165.93745846184,-15
"8",-115.425003914423,41.5250013499301,25,8,"Agent_1",245.008052122759,-20
"9",-114.525003883901,41.3750013588335,5,9,"Agent_1",76.9276189558269,-20
"10",-114.675003888988,41.3750013588335,0,10,"Agent_1",12.5301129686226,-5
"11",NA,NA,NA,11,"Agent_1",NA,NA
"12",NA,NA,NA,12,"Agent_1",NA,NA
"13",NA,NA,NA,13,"Agent_1",NA,NA
"14",NA,NA,NA,14,"Agent_1",NA,NA
"15",NA,NA,NA,15,"Agent_1",NA,NA
"16",NA,NA,NA,16,"Agent_1",NA,NA
"17",NA,NA,NA,17,"Agent_1",NA,NA
"18",NA,NA,NA,18,"Agent_1",NA,NA
"19",NA,NA,NA,19,"Agent_1",NA,NA
"20",NA,NA,NA,20,"Agent_1",NA,NA
"21",NA,NA,NA,21,"Agent_1",NA,NA
"22",NA,NA,NA,22,"Agent_1",NA,NA
"23",NA,NA,NA,23,"Agent_1",NA,NA
"24",NA,NA,NA,24,"Agent_1",NA,NA
"25",NA,NA,NA,25,"Agent_1",NA,NA
"26",NA,NA,NA,26,"Agent_1",NA,NA
"27",NA,NA,NA,27,"Agent_1",NA,NA
"28",-112.24,52.24,100,1,"Agent_2",NA,NA
"29",-114.275003875423,44.9250011481189,95,2,"Agent_2",827.886979231454,-5
"30",-113.075003834727,42.7250012787026,75,3,"Agent_2",263.174965467109,-20
"31",-113.475003848293,40.8750013885116,55,4,"Agent_2",208.598311231096,-20
"32",-109.925003727901,40.5750014063185,50,5,"Agent_2",301.325087921942,-5
"33",-106.325003605814,38.8250015101919,30,6,"Agent_2",364.67362516966,-20
"34",-105.025003561727,38.4250015339344,15,7,"Agent_2",121.509692886608,-15
