agent_id,day,lon,lat,curr_status,energy,delta_energy,distance,final_status
Agent_01,0,-142.7,63.2,Alive,70,NA,NA,Stopped
Agent_01,1,-153.0250052,62.5750001,Alive,60,-10,527.8263107,Stopped
Agent_01,2,-142.2750048,61.72500015,Alive,52,-8,566.3007376,Stopped
Agent_01,3,-128.4250044,57.77500039,Alive,50,-2,889.9917875,Stopped
Agent_01,4,-121.1250041,46.72500104,Alive,55,5,1325.060454,Stopped
Agent_01,5,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_01,6,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_01,7,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_01,8,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_01,9,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_01,10,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_01,11,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_01,12,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_01,13,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_01,14,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,0,-142.7,63.2,Alive,70,NA,NA,Stopped
Agent_02,1,-132.6750045,58.32500035,Alive,62,-8,767.5565273,Stopped
Agent_02,2,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,3,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,4,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,5,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,6,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,7,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,8,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,9,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,10,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,11,NA,NA,Stopped,NA,NA,NA,Stopped
Agent_02,12,NA,NA,Stopped,NA,NA,NA,Stopped
