"","lon","lat","day","agent_id","distance"
"1",-100,26,1,"Agent_1",NA
"2",-99.875003387074,23.9750023916318,2,"Agent_1",225.774186149261
"3",-100.625003412509,24.5250023589859,3,"Agent_1",97.6891143808399
"4",-100.275003400639,24.8750023382112,4,"Agent_1",52.6400364580597
"5",-98.9750033565522,24.4750023619537,5,"Agent_1",138.834829867745
"6",-100.275003400639,25.6750022907262,6,"Agent_1",187.148036899634
"7",-99.725003381987,24.7750023441468,7,"Agent_1",114.477888383361
"8",-100.225003398944,25.5250022996296,8,"Agent_1",97.5136387784514
"9",-101.025003426074,25.875002278855,9,"Agent_1",89.2041599126721
"10",-99.5750033769,24.2250023767927,10,"Agent_1",234.772244727313
"11",-99.875003387074,25.5250022996296,11,"Agent_1",147.852656991116
"12",-100.275003400639,24.4250023649215,12,"Agent_1",128.932268354717
"13",-99.6250033785957,25.5250022996296,13,"Agent_1",138.911455136921
"14",-99.2250033650304,24.825002341179,14,"Agent_1",87.726880551868
"15",-99.9750033904653,24.8750023382112,15,"Agent_1",75.9634957964234
"16",-99.875003387074,24.8750023382112,16,"Agent_1",10.0992118105572
"17",-100.125003395552,25.07500232634,17,"Agent_1",33.6468371344154
"18",-100.125003395552,24.5750023560181,18,"Agent_1",55.6597420928849
"19",-100.275003400639,24.8750023382112,19,"Agent_1",36.678660974027
"20",-100.175003397248,24.9750023322756,20,"Agent_1",15.0276982466889
"21",-100.025003392161,24.6750023500824,21,"Agent_1",36.6736125060227
"22",-100.125003395552,25.1250023233721,22,"Agent_1",51.101247671338
"23",-100.775003417596,24.5750023560181,23,"Agent_1",89.7748224603883
"24",-99.7750033836826,25.6750022907262,24,"Agent_1",158.593118182895
"25",NA,NA,25,"Agent_1",NA
"26",NA,NA,26,"Agent_1",NA
"27",NA,NA,27,"Agent_1",NA
